record_id,title,register_status,register_venue,register_identifier,found_title,found_venue,found_type,found_year,found_doi,openalex_id,title_match,VERDICT,notes
436,UNDERSTANDING HTML WITH LARGE LANGUAGE,Archival published,Findings of EMNLP,https://doi.org/10.18653/v1/2023.findings-emnlp.185,Understanding HTML with Large Language Models,Findings of the Association for Computational Linguistics: EMNLP 2023,proceedings-article,2023,10.18653/v1/2023.findings-emnlp.185,,0.916,VENUE_MISMATCH,register venue 'Findings of EMNLP' vs external 'Findings of the Association for Computational Linguistics: EMNLP 2023'
437,Pix2Struct: Screenshot Parsing as Pretraining for Visual Language Understanding,Archival published,Proceedings of ICML,arXiv:2210.03347,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
438,Set-of-Mark Prompting Unleashes Extraordinary Visual Grounding in GPT-4V,Preprint/technical report,arXiv preprint arXiv:2310.11441,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
439,Pix2Act -- From Pixels to UI Actions: Learning to Follow Instructions via Graphical User Interfaces,Archival published,Advances in NeurIPS,arXiv:2306.00245,From Pixels to UI Actions: Learning to Follow Instructions via Graphical User Interfaces,Advances in Neural Information Processing Systems 36,proceedings-article,2023,10.52202/075280-1490,,0.956,OK,
440,CogAgent A Visual Language Model for GUI Agents,Archival published,Proceedings of CVPR,arXiv:2312.08914,CogAgent: A Visual Language Model for GUI Agents,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),proceedings-article,2024,10.1109/cvpr52733.2024.01354,,1.0,VENUE_MISMATCH,register venue 'Proceedings of CVPR' vs external '2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)'
441,SeeClick: Harnessing GUI Grounding for Advanced Visual GUI Agents,Archival published,Proceedings of ACL (Long Papers),https://doi.org/10.18653/v1/2024.acl-long.505,SeeClick: Harnessing GUI Grounding for Advanced Visual GUI Agents,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2024,10.18653/v1/2024.acl-long.505,,1.0,VENUE_MISMATCH,register venue 'Proceedings of ACL (Long Papers)' vs external 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
443,OmniParser for Pure Vision Based GUI Agent,Archival published,International Conference on Learning Representations,arXiv:2408.00203,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
444,OS-ATLAS: A Foundation Action Model for Generalist GUI Agents,Archival published,International Conference on Learning Representations,arXiv:2410.23218,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
445,ShowUI One Vision-Language-Action Model for GUI Visual Agent,Archival published,Proceedings of CVPR,arXiv:2411.17465,ShowUI: One Vision-Language-Action Model for GUI Visual Agent,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),proceedings-article,2025,10.1109/cvpr52734.2025.01816,,1.0,VENUE_MISMATCH,register venue 'Proceedings of CVPR' vs external '2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)'
446,UI-TARS Pioneering Automated GUI Interaction with Native Agents,Preprint/technical report,arXiv preprint arXiv:2501.12326,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
447,Magma: A Foundation Model for Multimodal AI Agents,Archival published,Proceedings of CVPR,arXiv:2502.13130,Magma: A Foundation Model for Multimodal AI Agents,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),proceedings-article,2025,10.1109/cvpr52734.2025.01325,,1.0,VENUE_MISMATCH,register venue 'Proceedings of CVPR' vs external '2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)'
448,Surfer-H Meets Holo1: Cost-Efficient Web Agent Powered by Open Weights,Preprint/technical report,arXiv preprint arXiv:2506.02865,https://doi.org/10.48550/arXiv.2506.02865,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
449,UGround: Unified Visual Grounding for GUI Agents,Archival published,International Conference on Learning Representations,https://openreview.net/forum?id=kxnoqaisCT,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
450,GUI-Actor Coordinate-Free Visual Grounding for GUI Agents,Archival published,Advances in NeurIPS,arXiv:2506.03143,GUI-Actor: Coordinate-Free Visual Grounding for GUI Agents,Advances in Neural Information Processing Systems 38,proceedings-article,2025,10.52202/085713-0508,,1.0,OK,
451,LineRetriever Planning-Aware Observation Reduction for Web Agents,Preprint/technical report,arXiv preprint arXiv:2507.00210,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
452,FocusAgent: Simple Yet Effective Ways of Trimming the Large Context of Web Agents,Preprint/technical report,arXiv preprint arXiv:2510.03204,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
453,LCoW: Learning to Contextualize Web Pages for Enhanced Decision Making by LLM Agents,Archival published,International Conference on Learning Representations,arXiv:2503.10689,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
454,Prune4Web: DOM Tree Pruning Programming for Web Agent,Archival published,Proceedings of AAAI,https://doi.org/10.1609/aaai.v40i41.40772,Prune4Web: DOM Tree Pruning Programming for Web Agent,Proceedings of the AAAI Conference on Artificial Intelligence,journal-article,2026,10.1609/aaai.v40i41.40772,,1.0,OK,
455,MolmoWeb: Open Visual Web Agent and Open Data for the Open Web,Preprint/technical report,arXiv preprint arXiv:2604.08516,,MolmoWeb: Open Visual Web Agent and Open Data for the Open Web,Lecture Notes in Computer Science,book-chapter,2026,10.1007/978-3-032-37393-9_17,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'Lecture Notes in Computer Science'
456,WebSRC: A Dataset for Web-Based Structural Reading Comprehension,Archival published,Proceedings of EMNLP,https://doi.org/10.18653/v1/2021.emnlp-main.343,WebSRC: A Dataset for Web-Based Structural Reading Comprehension,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,proceedings-article,2021,10.18653/v1/2021.emnlp-main.343,,1.0,VENUE_MISMATCH,register venue 'Proceedings of EMNLP' vs external 'Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing'
457,Synapse Trajectory-as-Exemplar Prompting with Memory for Computer Control,Archival published,International Conference on Learning Representations,arXiv:2306.07863,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
458,Hierarchical Multimodal Pre-training for Visually Rich Webpage Understanding,Archival published,Proceedings of ACM WSDM,https://doi.org/10.1145/3616855.3635753,Hierarchical Multimodal Pre-training for Visually Rich Webpage Understanding,Proceedings of the 17th ACM International Conference on Web Search and Data Mining,proceedings-article,2024,10.1145/3616855.3635753,,1.0,VENUE_MISMATCH,register venue 'Proceedings of ACM WSDM' vs external 'Proceedings of the 17th ACM International Conference on Web Search and Data Mining'
459,Dual-View Visual Contextualization for Web Navigation,Archival published,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,arXiv:2402.04476,Dual-View Visual Contextualization for Web Navigation,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),proceedings-article,2024,10.1109/cvpr52733.2024.01369,,1.0,OK,
460,Ferret-UI: Grounded Mobile UI Understanding with Multimodal LLMs,Archival published,Proceedings of the European Conference on Computer Vision,https://doi.org/10.1007/978-3-031-73039-9_14,Ferret-UI: Grounded Mobile UI Understanding with Multimodal LLMs,Lecture Notes in Computer Science,book-chapter,2024,10.1007/978-3-031-73039-9_14,,1.0,VENUE_MISMATCH,register venue 'Proceedings of the European Conference on Computer Vision' vs external 'Lecture Notes in Computer Science'
461,CAAP: Context-Aware Action Planning Prompting to Solve Computer Tasks with Front-End UI Only,Preprint/technical report,arXiv,2406.06947,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
462,GUI-World A Video Benchmark and Dataset for Multimodal GUI-oriented Understanding,Archival published,International Conference on Learning Representations,arXiv:2406.10819,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
463,GUICourse From General Vision Language Models to Versatile GUI Agents,Archival published,Proceedings of ACL,arXiv:2406.11317,GUICourse: From General Vision Language Model to Versatile GUI Agent,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.acl-long.1065,,0.985,VENUE_MISMATCH,register venue 'Proceedings of ACL' vs external 'Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
464,ScreenAI: A Vision-Language Model for UI and Infographics Understanding,Archival published,Proceedings of IJCAI,https://doi.org/10.24963/ijcai.2024/339,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
465,Aguvis Unified Pure Vision Agents for Autonomous GUI Interaction,Archival published,Proceedings of ICML,arXiv:2412.04689,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
466,InfiGUIAgent A Multimodal Generalist GUI Agent with Native Reasoning and Reflection,Archival published,Proceedings of EACL,arXiv:2501.04575,InfiGUIAgent: A Multimodal Generalist GUI Agent with Native Reasoning and Reflection,Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2026,10.18653/v1/2026.eacl-long.45,,1.0,VENUE_MISMATCH,register venue 'Proceedings of EACL' vs external 'Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 1: Long Papers)'
467,HtmlRAG: HTML is Better Than Plain Text for Modeling Retrieved Knowledge in RAG Systems,Archival published,Proceedings of the ACM Web Conference 2025,https://doi.org/10.1145/3696410.3714815,HtmlRAG: HTML is Better Than Plain Text for Modeling Retrieved Knowledge in RAG Systems,Proceedings of the ACM on Web Conference 2025,proceedings-article,2025,10.1145/3696410.3714546,,1.0,OK,
468,DeskVision Large Scale Desktop Region Captioning for Advanced GUI Agents,Preprint/technical report,arXiv,2503.11170,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
469,Smoothing Grounding and Reasoning for MLLM-Powered GUI Agents with Query-Oriented Pivot Tasks,Preprint/technical report,,2503.00401,Smoothing Grounding and Reasoning for MLLM-Powered GUI Agents with Query-Oriented Pivot Task,,posted-content,2025,10.2139/ssrn.5770750,,0.995,OK,both treat it as preprint
470,"Multimodal LLM Agents: Exploring LLM interactions in Software, Web and Operating Systems",Workshop/non-archival,CS598 course/LLM-Agent workshop (OpenReview YGLOpASCY5); no arXiv ID,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
471,ScreenSpot-Pro: GUI Grounding for Professional High-Resolution Computer Use,Archival published,Proceedings of ACM Multimedia,https://doi.org/10.1145/3746027.3755688,ScreenSpot-Pro: GUI Grounding for Professional High-Resolution Computer Use,Proceedings of the 33rd ACM International Conference on Multimedia,proceedings-article,2025,10.1145/3746027.3755688,,1.0,OK,
472,Phi-Ground Tech Report: Advancing Perception in GUI Grounding,Preprint/technical report,,2507.23779,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
473,Beyond Pixels: Exploring DOM Downsampling for LLM-Based Web Agents,Preprint/technical report,arXiv preprint arXiv:2508.04412,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
474,MGA: Memory-Driven GUI Agent for Observation-Centric Interaction,Preprint/technical report,,2510.24168,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
475,From User Interface to Agent Interface: Efficiency Optimization of UI Representations for LLM Agents,Preprint/technical report,arXiv preprint arXiv:2512.13438,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
476,CI4A: Semantic Component Interfaces for Agents Empowering Web Automation,Preprint/technical report,arXiv preprint arXiv:2601.14790,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
477,See and Remember: A Multimodal Agent for Web Traversal,Preprint/technical report,arXiv preprint arXiv:2603.02626,arXiv:2603.02626,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
478,Agent-E: From Autonomous Web Navigation to Foundational Design Principles in Agentic Systems,Preprint/technical report,arXiv preprint arXiv:2407.13032,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
479,RaDA: Retrieval-augmented Web Agent Planning with LLMs,Archival published,Findings of ACL,https://doi.org/10.18653/v1/2024.findings-acl.802,RaDA: Retrieval-augmented Web Agent Planning with LLMs,Findings of the Association for Computational Linguistics ACL 2024,proceedings-article,2024,10.18653/v1/2024.findings-acl.802,,1.0,VENUE_MISMATCH,register venue 'Findings of ACL' vs external 'Findings of the Association for Computational Linguistics ACL 2024'
480,Web Agents with World Models Learning and Leveraging Environment Dynamics in Web Navigation,Preprint/technical report,arXiv preprint arXiv:2512.23676,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
481,Agent S2 A Compositional Generalist-Specialist Framework for Computer Use Agents,Archival published,COLM,arXiv:2504.00906,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
482,WebRollback Enhancing Web Agents with Explicit Rollback Mechanisms,Archival published,Proceedings of EACL (Short Papers),https://doi.org/10.18653/v1/2026.eacl-short.12,WebRollback: Enhancing Web Agents with Explicit Rollback Mechanisms,Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 2: Short Papers),proceedings-article,2026,10.18653/v1/2026.eacl-short.12,,1.0,VENUE_MISMATCH,register venue 'Proceedings of EACL (Short Papers)' vs external 'Proceedings of the 19th Conference of the European Chapter of the Association for Computational Linguistics (Volume 2: Short Papers)'
483,AGENTOCCAM: A Simple Yet Strong Baseline for LLM-Based Web Agents,Archival published,International Conference on Learning Representations,arXiv:2410.13825,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
484,WebDreamer: Is Your LLM Secretly a World Model of the Internet Model-Based Planning for Web Agents,Archival published,TMLR,arXiv:2411.06559,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
485,WebCoT Enhancing Web Agent Reasoning by Reconstructing Chain-of-Thought in Reflection Branching and Rollback,Archival published,Findings of EMNLP,arXiv:2505.20013,"WebCoT: Enhancing Web Agent Reasoning by Reconstructing Chain-of-Thought in Reflection, Branching, and Rollback",Findings of the Association for Computational Linguistics: EMNLP 2025,proceedings-article,2025,10.18653/v1/2025.findings-emnlp.276,,1.0,VENUE_MISMATCH,register venue 'Findings of EMNLP' vs external 'Findings of the Association for Computational Linguistics: EMNLP 2025'
486,WebSailor Navigating Super-human Reasoning for Web Agent,Preprint/technical report,arXiv preprint arXiv:2507.02592,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
487,AgentFold: Long-Horizon Web Agents with Proactive Context Management,Preprint/technical report,arXiv preprint arXiv:2510.24699,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
488,WebDART: Dynamic Decomposition and Re-planning for Complex Web Tasks,Preprint/technical report,arXiv preprint arXiv:2510.06587,,WebDART: Dynamic Decomposition and Re-planning for Complex Web Tasks,Findings of the Association for Computational Linguistics: ACL 2026,proceedings-article,2026,10.18653/v1/2026.findings-acl.568,,1.0,UPGRADE,register says 'Preprint/technical report' but external source shows published in 'Findings of the Association for Computational Linguistics: ACL 2026'
489,WebAnchor: Anchoring Agent Planning to Stabilize Long-Horizon Web Reasoning,Archival published,Findings of ACL,https://doi.org/10.18653/v1/2026.findings-acl.2058,WebAnchor: Anchoring Agent Planning to Stabilize Long-Horizon Web Reasoning,Findings of the Association for Computational Linguistics: ACL 2026,proceedings-article,2026,10.18653/v1/2026.findings-acl.2058,,1.0,VENUE_MISMATCH,register venue 'Findings of ACL' vs external 'Findings of the Association for Computational Linguistics: ACL 2026'
490,Tree Search for Language Model Agents,Archival published,TMLR,arXiv:2407.01476,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
491,HEAP: HIERARCHICAL POLICIES FOR,Archival accepted,COLM 2024,https://openreview.net/forum?id=5fg0VtRxgi; 2310.03720,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
492,LASER: LLM Agent with State-Space Exploration for Web Navigation,Preprint/technical report,,2309.08172,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
493,TRAD: Enhancing LLM Agents with Step-Wise Thought Retrieval and Aligned Decision,Archival published,"Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR 2024), pages 3–13",https://doi.org/10.1145/3626772.3657788,TRAD: Enhancing LLM Agents with Step-Wise Thought Retrieval and Aligned Decision,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,proceedings-article,2024,10.1145/3626772.3657788,,1.0,OK,
494,Latent State Estimation Helps UI Agents to Reason,Preprint/technical report,,2405.11120,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
495,WebPilot: A Versatile and Autonomous Multi-Agent System for Web Task Execution with Strategic Exploration,Archival published,Proceedings of AAAI,arXiv:2408.15978,WebPilot: A Versatile and Autonomous Multi-Agent System for Web Task Execution with Strategic Exploration,Proceedings of the AAAI Conference on Artificial Intelligence,journal-article,2025,10.1609/aaai.v39i22.34505,,1.0,OK,
496,OSCAR: Operating System Control via State-Aware Reasoning and Re-Planning,Archival published,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=VuTrZzrPfn,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
497,ExACT Teaching AI Agents to Explore with Reflective-MCTS and Exploratory Learning,Archival published,International Conference on Learning Representations,arXiv:2410.02052,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
498,MOBA: Multifaceted Memory-Enhanced Adaptive Planning for Efficient Mobile Task Automation,Archival published,"Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the ACL: Human Language Technologies, System Demonstrations",https://doi.org/10.18653/v1/2025.naacl-demo.43,MobA: Multifaceted Memory-Enhanced Adaptive Planning for Efficient Mobile Task Automation,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (System Demonstrations),proceedings-article,2025,10.18653/v1/2025.naacl-demo.43,,1.0,OK,
499,PAFFA: Premeditated Actions For Fast Agents,Preprint/technical report,arXiv preprint arXiv:2412.07958,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
500,Guiding VLM Agents with Process Rewards at Inference Time for GUI Navigation,Preprint/technical report,,2504.16073,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
501,Inducing Programmatic Skills for Agentic Tasks,Archival published,COLM,arXiv:2504.06821,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
502,InfiGUI-R1 Advancing Multimodal GUI Agents from Reactive Actors to Deliberative Reasoners,Preprint/technical report,arXiv preprint arXiv:2504.14239,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
503,BacktrackAgent Enhancing GUI Agent with Error Detection and Backtracking Mechanism,Archival published,Proceedings of EMNLP,arXiv:2505.20660,BacktrackAgent: Enhancing GUI Agent with Error Detection and Backtracking Mechanism,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,proceedings-article,2025,10.18653/v1/2025.emnlp-main.212,,1.0,VENUE_MISMATCH,register venue 'Proceedings of EMNLP' vs external 'Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing'
504,SteP: Stacked LLM Policies for Web Actions,Archival published,First COLM,arXiv:2310.03720,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
505,Thinking vs. Doing: Agents that Reason by Scaling Test-Time Interaction,Archival accepted,NeurIPS 2025 (poster),neurips.cc/virtual/2025/130833 (OpenReview un1TRwNgiv); 2506.07976,Thinking vs. Doing: Improving Agent Reasoning by  Scaling Test-Time Interaction,Advances in Neural Information Processing Systems 38,proceedings-article,2025,10.52202/085713-5647,,0.869,VENUE_MISMATCH,register venue 'NeurIPS 2025 (poster)' vs external 'Advances in Neural Information Processing Systems 38'
506,"R2D2: Remembering, Replaying and Dynamic Decision Making with a Reflective Agentic Memory",Archival published,Proceedings of ACL (Long Papers),arXiv:2501.12485,"R2D2: Remembering, Replaying and Dynamic Decision Making with a Reflective Agentic Memory",Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.acl-long.1464,,1.0,VENUE_MISMATCH,register venue 'Proceedings of ACL (Long Papers)' vs external 'Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
507,Web-CogReasoner: Towards Knowledge-Induced Cognitive Reasoning for Web Agents,Preprint/technical report,,2508.01858,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
508,ReSum: Unlocking Long-Horizon Search Intelligence via Context Summarization,Preprint/technical report,arXiv preprint arXiv:2509.13313,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
509,AgentProg: Empowering Long-Horizon GUI Agents with Program-Guided Context Management,Preprint/technical report,,2512.10371,AgentProg: Empowering Long-Horizon GUI Agents with Program-guided Context Management,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services",proceedings-article,2026,10.1145/3745756.3809245,,1.0,UPGRADE,"register says 'Preprint/technical report' but external source shows published in 'Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services'"
510,Web World Models,Preprint/technical report,arXiv preprint arXiv:2512.23676,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
511,"Agent Alpha: Tree Search Unifying Generation, Exploration and Evaluation for Computer-Use Agents",Preprint/technical report,arXiv preprint arXiv:2602.02995,arXiv:2602.02995,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
512,World-Model-Augmented Web Agents with Action Correction,Preprint/technical report,arXiv preprint arXiv:2602.15384,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
513,AI Planning Framework for LLM-Based Web Agents,Preprint/technical report,,2603.12710,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
514,MANGO: Multi-Agent Web Navigation via Global-View Optimization,Archival published,Proceedings of ACL,arXiv:2604.18779,Mango: Multi-Agent Web Navigation via Global-View Optimization,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2026,10.18653/v1/2026.acl-long.646,,1.0,VENUE_MISMATCH,register venue 'Proceedings of ACL' vs external 'Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
515,WebXSkill: Skill Learning for Autonomous Web Agents,Preprint/technical report,arXiv preprint arXiv:2604.13318,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
516,Can Language Models Serve as Text-Based World Simulators,Archival published,Proceedings of ACL (Short Papers),https://doi.org/10.18653/v1/2024.acl-short.1,Can Language Models Serve as Text-Based World Simulators?,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),proceedings-article,2024,10.18653/v1/2024.acl-short.1,,1.0,VENUE_MISMATCH,register venue 'Proceedings of ACL (Short Papers)' vs external 'Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers)'
517,WebRL: Training LLM Web Agents via Self-Evolving Online Curriculum Reinforcement Learning,Archival published,International Conference on Learning Representations,arXiv:2411.02337,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
518,Multimodal Web Navigation with Instruction-Finetuned Foundation Models,Archival published,International Conference on Learning Representations,arXiv:2305.11854,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
519,WILBUR: Adaptive In-Context Learning for Robust and Accurate Web Agents,Preprint/technical report,arXiv preprint arXiv:2404.05902,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
520,Agent Q Advanced Reasoning and Learning for Autonomous AI Agents,Preprint/technical report,arXiv preprint arXiv:2408.07199,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
521,Agent Workflow Memory,Archival published,Proceedings of the 42nd International Conference on Machine Learning,arXiv:2409.07429,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
522,From Context to Action: Analysis of the Impact of State Representation and Context on the Generalization of Multi-Turn Web Navigation Agents,Workshop/conditional,NeurIPS 2024 Workshop on Open-World Agents,arXiv:2409.13701,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
523,NNetscape Navigator: Complex Demonstrations for Web Agents Without a Demonstrator,Preprint/technical report,arXiv (ICLR 2025 submission withdrawn),2410.02907,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
524,"OpenWebVoyager: Building Multimodal Web Agents via Iterative Real-World Exploration, Feedback and Optimization",Archival published,Proceedings of ACL (Long Papers),arXiv:2410.19609,"OpenWebVoyager: Building Multimodal Web Agents via Iterative Real-World Exploration, Feedback and Optimization",Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.acl-long.1336,,1.0,VENUE_MISMATCH,register venue 'Proceedings of ACL (Long Papers)' vs external 'Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
525,Large Language Models Can Self-Improve At Web Agent Tasks,Preprint/technical report,arXiv preprint arXiv:2405.20309,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
526,NNetNav Unsupervised Learning of Browser Agents Through Environment Interaction in the Wild,Workshop/conditional,"Self-Improving Foundation Models Workshop, ICLR 2025",arXiv:2410.02907,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
527,AdaptAgent Adapting Multimodal Web Agents with Few-Shot Learning from Human Demonstrations,Archival published,Proceedings of ACL (Long Papers),https://doi.org/10.18653/v1/2025.acl-long.1008,AdaptAgent: Adapting Multimodal Web Agents with Few-Shot Learning from Human Demonstrations,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),proceedings-article,2025,10.18653/v1/2025.acl-long.1008,,1.0,VENUE_MISMATCH,register venue 'Proceedings of ACL (Long Papers)' vs external 'Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)'
528,ScribeAgent: Towards Specialized Web Agents Using Production-Scale Workflow Data,Preprint/technical report,arXiv preprint arXiv:2411.15004,,ScribeAgent: Towards Specialized Web Agents Using Production-Scale Workflow Data,,posted-content,2024,10.32388/8vog0o,,1.0,OK,both treat it as preprint
529,AgentTrek Agent Trajectory Synthesis via Guiding Replay with Web Tutorials,Archival published,International Conference on Learning Representations,arXiv:2412.09605,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
530,AgentRefine Enhancing Agent Generalization through Refinement Tuning,Archival published,International Conference on Learning Representations,arXiv:2501.01702,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
531,GUI-R1 A Generalist R1-Style Vision-Language Action Model For GUI Agents,Preprint/technical report,arXiv preprint arXiv:2504.10458,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
532,SkillWeaver Web Agents can Self-Improve by Discovering and Honing Skills,Preprint/technical report,arXiv preprint arXiv:2504.07079,,,,,,,,,NO_MATCH,not found in OpenAlex or Crossref; verify by hand
533,WebEvolver Enhancing Web Agent Self-Improvement with Coevolving World Model,Archival published,Proceedings of EMNLP,https://doi.org/10.18653/v1/2025.emnlp-main.454,WebEvolver: Enhancing Web Agent Self-Improvement with Co-evolving World Model,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,proceedings-article,2025,10.18653/v1/2025.emnlp-main.454,,0.993,VENUE_MISMATCH,register venue 'Proceedings of EMNLP' vs external 'Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing'
